volume,timestamp,close,high,low,open
44,2020-07-08T04:00:00Z,10.57,10.60,10.34,10.60
27,2020-07-09T04:00:00Z,10.55,10.75,10.47,10.53
22,2020-07-10T04:00:00Z,10.36,10.60,10.36,10.59
104,2020-07-13T04:00:00Z,10.59,10.95,10.43,10.55
121,2020-07-14T04:00:00Z,10.46,10.65,10.32,10.33
75,2020-07-15T04:00:00Z,10.42,11.09,10.42,11.09
98,2020-07-16T04:00:00Z,11.10,11.25,10.52,10.80
147,2020-07-17T04:00:00Z,10.71,11.50,10.71,10.81
98,2020-07-20T04:00:00Z,10.68,11.42,10.67,11.02
27,2020-07-21T04:00:00Z,11.25,11.52,11.05,11.05
132,2020-07-22T04:00:00Z,11.16,11.83,11.04,11.80
116,2020-07-23T04:00:00Z,11.65,12.05,11.47,11.70
27,2020-07-24T04:00:00Z,11.60,11.69,11.51,11.51
68,2020-07-27T04:00:00Z,11.40,12.08,11.40,11.74
95,2020-07-28T04:00:00Z,11.48,11.95,11.48,11.75
47,2020-07-29T04:00:00Z,11.73,11.85,11.48,11.80
95,2020-07-30T04:00:00Z,11.99,11.99,11.32,11.70
1068,2020-07-31T04:00:00Z,13.00,15.50,12.87,14.98
680,2020-08-03T04:00:00Z,15.42,16.40,15.00,15.61
328,2020-08-04T04:00:00Z,16.50,16.97,15.61,16.40
422,2020-08-05T04:00:00Z,16.50,17.31,15.97,17.00
645,2020-08-06T04:00:00Z,17.05,17.78,16.62,17.15
218,2020-08-07T04:00:00Z,17.49,17.49,16.59,17.10
196,2020-08-10T04:00:00Z,16.90,17.37,16.31,16.70
157,2020-08-11T04:00:00Z,16.36,16.79,16.36,16.72
368,2020-08-12T04:00:00Z,16.70,18.00,16.19,17.40
355,2020-08-13T04:00:00Z,17.70,18.73,17.65,18.45
426,2020-08-14T04:00:00Z,18.66,18.70,17.48,17.90
379,2020-08-17T04:00:00Z,17.94,17.94,16.46,16.82
302,2020-08-18T04:00:00Z,17.00,17.10,16.05,16.25
356,2020-08-19T04:00:00Z,16.38,16.99,16.05,16.05
325,2020-08-20T04:00:00Z,16.31,16.46,15.65,16.17
424,2020-08-21T04:00:00Z,16.18,16.70,15.05,15.30
516,2020-08-24T04:00:00Z,15.72,16.80,15.19,16.67
533,2020-08-25T04:00:00Z,17.08,17.42,15.95,16.24
358,2020-08-26T04:00:00Z,16.23,17.26,16.20,16.76
366,2020-08-27T04:00:00Z,16.70,16.75,15.66,15.66
287,2020-08-28T04:00:00Z,15.95,16.76,15.83,16.41
373,2020-08-31T04:00:00Z,16.50,17.64,16.50,16.90
340,2020-09-01T04:00:00Z,17.00,17.96,17.00,17.42
403,2020-09-02T04:00:00Z,17.34,17.50,16.71,16.90
133,2020-09-03T04:00:00Z,17.05,17.20,16.12,16.55
240,2020-09-04T04:00:00Z,16.39,17.08,15.71,16.31
178,2020-09-08T04:00:00Z,16.15,16.91,16.10,16.61
